epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,958.357,1.95677,1.42751,1.57107,0.91464,0.87308,0.95016,0.73212,1.95022,1.05039,1.52385,0.00049325,0.00049325,0.00049325
116,965.006,2.00286,1.46253,1.57413,0.89838,0.89008,0.95059,0.78447,1.52894,0.98663,1.51753,0.000492699,0.000492699,0.000492699
117,973.133,2.00031,1.35506,1.57359,0.93023,0.86003,0.95159,0.78628,1.54554,0.99132,1.51946,0.000492149,0.000492149,0.000492149
118,979.29,1.83959,1.38555,1.5726,0.9203,0.85997,0.94987,0.73098,1.93609,1.04451,1.52572,0.000491599,0.000491599,0.000491599
119,985.779,1.99186,1.46544,1.56903,0.91377,0.86739,0.95045,0.72831,1.9548,1.03476,1.52778,0.000491048,0.000491048,0.000491048
120,989.113,1.85822,1.38736,1.5711,0.90259,0.871,0.95149,0.79182,1.51624,0.97525,1.51616,0.000490498,0.000490498,0.000490498
121,994.984,2.14832,1.45675,1.56633,0.89505,0.87265,0.94855,0.77302,1.6338,1.01222,1.51836,0.000489947,0.000489947,0.000489947
122,1003.93,1.8747,1.34498,1.56346,0.92894,0.86083,0.95241,0.8022,1.45116,0.94841,1.51414,0.000489397,0.000489397,0.000489397
123,1007.06,2.27455,1.65204,1.57249,0.92284,0.88571,0.95512,0.75992,1.74309,0.98577,1.51865,0.000488846,0.000488846,0.000488846
124,1014.8,2.10231,1.44784,1.57959,0.90628,0.90046,0.95361,0.71104,2.0447,1.05229,1.5229,0.000488296,0.000488296,0.000488296
125,1020.29,2.09807,1.49648,1.58457,0.91051,0.88824,0.95302,0.78277,1.58802,0.97875,1.51654,0.000487745,0.000487745,0.000487745
126,1027.85,2.35115,1.53834,1.57328,0.92267,0.87777,0.95014,0.727,1.95887,1.06213,1.52128,0.000487195,0.000487195,0.000487195
127,1035.73,1.9742,1.38911,1.58277,0.90034,0.88626,0.94614,0.74463,1.76309,1.03439,1.51782,0.000486645,0.000486645,0.000486645
128,1043.31,2.05866,1.36926,1.57101,0.89729,0.88768,0.95018,0.77473,1.68264,0.9963,1.51639,0.000486094,0.000486094,0.000486094
129,1049.12,2.09502,1.48703,1.57335,0.9126,0.88657,0.95621,0.78949,1.56964,0.94811,1.51603,0.000485544,0.000485544,0.000485544
130,1057.49,1.77283,1.3269,1.57294,0.92479,0.88007,0.95463,0.7572,1.89236,1.01924,1.52291,0.000484993,0.000484993,0.000484993
131,1065.33,2.23697,1.43682,1.57882,0.88588,0.88366,0.94303,0.72327,2.11714,1.11386,1.53331,0.000484443,0.000484443,0.000484443
132,1069.81,2.26804,1.42971,1.57992,0.90169,0.878,0.94303,0.73371,1.79361,1.04922,1.51899,0.000483892,0.000483892,0.000483892
133,1077.05,2.12456,1.4716,1.5753,0.89699,0.89414,0.95109,0.68375,2.26017,1.1342,1.52809,0.000483342,0.000483342,0.000483342
134,1083.95,2.30325,1.49462,1.58507,0.91906,0.87526,0.95475,0.73276,1.85579,1.01415,1.52402,0.000482791,0.000482791,0.000482791
135,1093.86,2.08478,1.41607,1.57209,0.91733,0.89039,0.95694,0.76172,1.6769,0.95144,1.52037,0.000482241,0.000482241,0.000482241
136,1102.27,1.9387,1.39199,1.57491,0.91334,0.89538,0.9599,0.78077,1.599,0.92721,1.51938,0.000481691,0.000481691,0.000481691
137,1110.43,1.879,1.32546,1.5669,0.91568,0.89752,0.95848,0.77653,1.63396,0.9316,1.51909,0.00048114,0.00048114,0.00048114
138,1117.69,2.14178,1.46717,1.57603,0.92705,0.90899,0.96028,0.78925,1.57929,0.88247,1.5181,0.00048059,0.00048059,0.00048059
139,1124.95,1.87139,1.31673,1.56353,0.94168,0.88925,0.96054,0.7496,1.86521,0.94819,1.52501,0.000480039,0.000480039,0.000480039
140,1130.14,2.11144,1.40417,1.57897,0.94452,0.886,0.959,0.65702,2.53708,1.09526,1.53467,0.000479489,0.000479489,0.000479489
141,1136.47,2.03345,1.33136,1.56688,0.94148,0.88099,0.95975,0.72406,2.00888,0.99953,1.52526,0.000478938,0.000478938,0.000478938
142,1144.73,1.82507,1.2679,1.56559,0.92608,0.89849,0.96518,0.80059,1.58986,0.92679,1.51592,0.000478388,0.000478388,0.000478388
143,1154.58,1.95483,1.34911,1.57171,0.92275,0.90171,0.96433,0.80042,1.57853,0.91723,1.51537,0.000477838,0.000477838,0.000477838
144,1162.72,2.03708,1.43477,1.56483,0.92414,0.90252,0.96393,0.75572,1.80049,0.93294,1.51631,0.000477287,0.000477287,0.000477287
145,1169.21,2.04795,1.28158,1.57514,0.92448,0.91427,0.96493,0.77226,1.69357,0.91055,1.51543,0.000476737,0.000476737,0.000476737
146,1176.01,1.81034,1.22596,1.56306,0.92572,0.89531,0.96163,0.79579,1.55709,0.89163,1.51608,0.000476186,0.000476186,0.000476186
147,1183.1,1.80038,1.21047,1.57447,0.91782,0.90315,0.95837,0.79208,1.57204,0.91367,1.51574,0.000475636,0.000475636,0.000475636
148,1192.42,2.2744,1.48064,1.58979,0.91084,0.89947,0.95997,0.70686,2.24882,1.03856,1.52812,0.000475085,0.000475085,0.000475085
149,1199.42,1.91178,1.24538,1.56821,0.93084,0.88928,0.96215,0.6904,2.40393,1.05525,1.5308,0.000474535,0.000474535,0.000474535
150,1206.29,1.92954,1.33168,1.57484,0.93633,0.89392,0.96514,0.80923,1.44897,0.84255,1.5146,0.000473984,0.000473984,0.000473984
151,1214.95,1.80881,1.29779,1.57351,0.93713,0.88529,0.96448,0.81981,1.41496,0.84304,1.51211,0.000473434,0.000473434,0.000473434
152,1220.43,1.78331,1.22914,1.57499,0.9347,0.88479,0.96266,0.80009,1.50531,0.85174,1.51562,0.000472884,0.000472884,0.000472884
153,1225.98,1.75445,1.2148,1.5762,0.94499,0.88844,0.96266,0.80044,1.52188,0.87003,1.5155,0.000472333,0.000472333,0.000472333
154,1233.05,1.93974,1.33328,1.57025,0.94232,0.89786,0.96119,0.80442,1.4705,0.89124,1.51867,0.000471783,0.000471783,0.000471783
155,1236.23,1.65637,1.13276,1.57214,0.94288,0.897,0.96455,0.78593,1.56687,0.87731,1.51804,0.000471232,0.000471232,0.000471232
156,1243.25,1.78722,1.2181,1.57086,0.93642,0.90905,0.9681,0.78362,1.62681,0.85489,1.51656,0.000470682,0.000470682,0.000470682
157,1247.33,1.80298,1.21849,1.56634,0.94344,0.90411,0.96789,0.79567,1.53484,0.83565,1.51551,0.000470131,0.000470131,0.000470131
158,1252.04,1.80021,1.23117,1.57226,0.93751,0.91259,0.96887,0.81399,1.45686,0.83036,1.51114,0.000469581,0.000469581,0.000469581
159,1259.46,2.00642,1.26862,1.57301,0.93242,0.91344,0.96883,0.80814,1.47424,0.83697,1.51304,0.00046903,0.00046903,0.00046903
